"id","treatment","location","distance","leaf_d15N"
1,"fertilised","fertilised:inside",-100,-0.99
2,"fertilised","fertilised:inside",-60,0
3,"fertilised","fertilised:inside",-30,-1.52
4,"fertilised","fertilised:edge",-10,-2.39
5,"fertilised","fertilised:edge",0,-2.72
6,"fertilised","fertilised:edge",10,-4.18
7,"fertilised","fertilised:outside",30,-4.89
8,"fertilised","fertilised:outside",60,-6.97
9,"fertilised","fertilised:outside",100,-4.39
10,"fertilised","fertilised:inside",-100,-0.91
11,"fertilised","fertilised:inside",-60,0.48
12,"fertilised","fertilised:inside",-30,0.65
13,"fertilised","fertilised:edge",-10,-2.22
14,"fertilised","fertilised:edge",0,-3.08
15,"fertilised","fertilised:edge",10,-3.94
16,"fertilised","fertilised:outside",30,-4.19
17,"fertilised","fertilised:outside",60,-5.49
18,"fertilised","fertilised:outside",100,-5.17
19,"fertilised","fertilised:inside",-100,0.63
20,"fertilised","fertilised:inside",-60,1.25
21,"fertilised","fertilised:inside",-30,-2.21
22,"fertilised","fertilised:edge",-10,-2.32
23,"fertilised","fertilised:edge",0,-3.57
24,"fertilised","fertilised:edge",10,-3.98
25,"fertilised","fertilised:outside",30,-3.76
26,"fertilised","fertilised:outside",60,-6.08
27,"fertilised","fertilised:outside",100,-5.42
28,"fertilised","fertilised:inside",-100,0.29
29,"fertilised","fertilised:inside",-60,1.02
30,"fertilised","fertilised:inside",-30,0.96
31,"fertilised","fertilised:edge",-10,-1.8
32,"fertilised","fertilised:edge",0,-1.44
33,"fertilised","fertilised:edge",10,-3.38
34,"fertilised","fertilised:outside",30,-4.05
35,"fertilised","fertilised:outside",60,-4.68
36,"fertilised","fertilised:outside",100,-4.68
37,"fertilised","fertilised:inside",-100,1.07
38,"fertilised","fertilised:inside",-60,1.35
39,"fertilised","fertilised:inside",-30,1.77
40,"fertilised","fertilised:edge",-10,-0.48
41,"fertilised","fertilised:edge",0,-2.21
42,"fertilised","fertilised:edge",10,-4.55
43,"fertilised","fertilised:outside",30,-3.63
44,"fertilised","fertilised:outside",60,-4.92
45,"fertilised","fertilised:outside",100,-4.82
46,"control","control",-220,-4.65
47,"control","control",-195,-4.09
48,"control","control",-170,-4.97
49,"control","control",-145,-5.24
51,"control","control",-95,-4.88
52,"control","control",-70,-4.08
53,"control","control",-45,-3.77
55,"control","control",-220,-5.79
56,"control","control",-195,-5.03
58,"control","control",-145,-5.39
59,"control","control",-120,-5.96
60,"control","control",-95,-4.49
61,"control","control",-70,-4.41
62,"control","control",-45,-6.05
64,"control","control",-220,-5.45
67,"control","control",-145,-4.09
68,"control","control",-120,-2.55
69,"control","control",-95,-2.53
70,"control","control",-70,-4.68
71,"control","control",-45,-3.51
73,"control","control",-220,-3.91
74,"control","control",-195,-4.24
76,"control","control",-145,-4.85
78,"control","control",-95,-4.14
79,"control","control",-70,-5.33
80,"control","control",-45,-5.43
82,"control","control",-220,-3.84
86,"control","control",-120,-5.35
85,"control","control",-145,-4.68
87,"control","control",-95,-3.76
88,"control","control",-70,-4.35
89,"control","control",-45,-3.24
