"id","horizon","alkylC","meth_N_alkylC","O_alkylC","di_O_alkylC","aromatic","O_aromaticC","carbonylC"
"1","L horizon",21.59,5.31,39.79,10.92,10.97,7.67,3.75
"2","L horizon",21.58498831,5.684105804,39.29665374,10.78102392,11.52623604,7.651460909,3.475531269
"3","L horizon",24.24,5.43,37.23,10.53,11.08,7.53,3.95
"4","L horizon",17.4,7.63,37.19,10.03,15.05,9.36,3.35
"5","L horizon",16.83373122,6.33149069,40.63925684,11.22648854,12.69890361,8.82105463,3.449074468
"6","L horizon",23.3,4.87,40.42,11.26,9.25,6.82,4.07
"7","L horizon",20.77903156,4.906740678,43.80543889,11.38447684,9.413456283,6.436427756,3.274427987
"8","L horizon",22.46,6.18,39.38,10.01,11.74,7.21,3.01
"9","L horizon",24.12,5.34,40.51,10.86,9.29,6.37,3.51
"10","L horizon",23.32,5.67,38.59,10.52,10.88,7.27,3.75
"11","L horizon",17.75097933,8.246855571,36.83670193,9.105878054,16.62499891,9.275859261,2.158726935
"12","L horizon",22.83644853,6.114501705,38.00122656,10.04364784,12.02077577,7.289016232,3.694383367
"13","L horizon",22.34423895,5.304959925,41.02804981,10.93847495,10.03916999,6.90951209,3.435594278
"14","L horizon",16.64,5.82,40.04,12.03,12.66,9.08,3.74
"15","L horizon",15.13,5.72,47.1,11.94,10.24,7.06,2.81
"16","L horizon",16.28,6.52,39.25,11.26,13.97,9.44,3.28
"17","L horizon",22.21,5.02,38.68,11.21,11.15,8.02,3.7
"18","L horizon",23.09066699,5.173327667,41.68603405,10.79158359,9.59743085,6.389761031,3.271195825
"19","L horizon",19.92,5.61,40.94,11.19,10.68,7.66,4
"20","L horizon",23.07,6.26,37.69,10.28,11.63,7.46,3.62
"21","L horizon",23.17,5.74,38.27,10.75,10.86,7.48,3.73
"22","L horizon",20.74,5.48,39.82,11.26,11.42,7.79,3.49
"23","L horizon",17.60142448,5.387863624,43.0835991,11.93299055,11.01880062,7.68628587,3.289035751
"24","L horizon",18.36614287,4.748626731,39.08296686,12.50304767,11.87773772,9.212674626,4.208803526
"25","L horizon",22.3590927,4.812460742,41.16271137,11.58322142,9.411507544,6.699633856,3.971372373
"26","L horizon",19.51419182,4.300052501,44.26793904,12.01955457,9.321767952,6.80643028,3.770063844
"27","L horizon",21.88638412,5.265424149,39.89242128,10.86043005,10.84999085,7.646572047,3.598777507
"28","L horizon",20.24667858,6.683526226,39.87617065,10.73790786,11.96849851,7.693143909,2.794074261
"29","L horizon",18.06304309,5.680848213,42.09889934,11.67317428,10.52488583,7.766252676,4.192896563
"30","L horizon",21.93019824,4.815305863,39.31834599,11.3702009,10.25654858,7.687560932,4.621839495
"31","L horizon",17.7,7.3,36.77,10.41,14.52,9.33,3.97
"32","L horizon",20.14883864,5.841115036,39.36382406,10.84796495,12.48484733,8.126968818,3.186441162
"33","L horizon",25.27376016,5.183947568,38.95173603,10.84390088,9.660508087,6.642277339,3.443869946
"34","L horizon",23.77,5.04,35.73,11.08,11.75,8.53,4.09
"35","L horizon",20.83125417,4.496953071,44.27568101,11.85744496,8.907142428,6.184648891,3.446875475
"36","L horizon",22.01,5.19,40.52,10.98,10.82,6.98,3.48
"37","L horizon",23.06391257,5.506247957,38.31285166,10.52867386,11.4973228,7.493222259,3.597768897
"38","L horizon",17.11811675,6.621426269,39.60798123,10.70553035,13.36322104,9.121685584,3.462038784
"39","L horizon",23.3,8.33,33.46,8.01,15.35,9.02,2.54
"40","L horizon",21.99,5.71,40.79,11.07,9.84,6.91,3.68
"41","L horizon",25.48158671,5.174111795,37.67589271,10.68135393,9.57069285,6.862560915,4.553801095
"42","L horizon",24.25,4.64,41.49,11.27,8.22,6.25,3.89
"43","L horizon",18.91,4.96,42.41,11.71,10.61,7.95,3.45
"44","L horizon",21.07,5.21,38.68,11.32,11.69,8.32,3.71
"45","L horizon",21.53,5.5,42.1,11.01,10.21,6.66,2.99
"48","L horizon",22.94074235,4.787868207,42.25220942,11.54505883,8.441814231,6.446438814,3.58586814
"52","L horizon",24.60104253,5.142500435,38.32734533,10.58453785,10.22316176,7.385903042,3.735509044
"56","L horizon",15.67090843,5.044069479,47.31108418,12.27836501,9.617836822,6.904889312,3.172846761
"68","L horizon",18.29296809,4.904974147,44.70501484,11.87351842,10.07483121,6.983824557,3.164868739
"69","L horizon",14.77579937,7.138780009,40.43489063,10.38103834,15.76847025,9.205873105,2.295148288
"70","L horizon",17.8,5.9,41.4,11.41,11.94,8.04,3.51
"71","L horizon",17.92759302,6.301039636,39.34692625,10.6926149,14.15537324,8.566408049,3.010044899
"76","L horizon",23.81270191,5.472637836,39.45008973,10.8402421,10.13298583,6.734262795,3.557079796
"80","L horizon",26.08,4.88,39.4,10.84,8.57,6.29,3.94
"87","L horizon",21.84668357,4.98758286,40.88498068,11.38072938,10.27660648,6.999946939,3.623470087
"89","L horizon",23.95504095,5.021568521,36.94301799,10.39935651,12.53149213,7.193650975,3.955872921
"1","F/H horizon",33.88,5.08,31.1,8.99,9.86,6.74,4.36
"2","F/H horizon",26.5923874,5.293527559,34.9234572,10.2600756,11.09801068,7.336925978,4.495615571
"3","F/H horizon",32.06,5.6,31.89,9.24,10.2,6.62,4.39
"4","F/H horizon",27.48,6.08,34.32,9.29,11.66,7.15,4.02
"5","F/H horizon",22.9633527,5.388629591,38.37598494,10.71070619,11.20215652,7.543349428,3.815820628
"6","F/H horizon",32.74,4.69,32.92,9.57,9.3,6.39,4.39
"7","F/H horizon",31.41049665,4.736618388,34.88093622,9.757230274,9.119622279,5.983347206,4.111748979
"8","F/H horizon",30.68,4.68,36.16,9.86,8.46,5.97,4.2
"9","F/H horizon",27.26,4.95,37.25,10.57,9.24,6.5,4.24
