"id","horizon","category","compound","peak_area"
1,"F/H horizon","Aromatic deriv.","P-Xylene",3893910
1,"F/H horizon","Aromatic deriv.","Toluene",4879554
1,"F/H horizon","Carbohydrate","2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",3576109
1,"F/H horizon","Carbohydrate","2-Furancarboxaldehyde, 5-methyl-",3225440
1,"F/H horizon","Carbohydrate","2,3-Dihydro-5-methylfuran-2-one",5061418
1,"F/H horizon","Carbohydrate","2,5-Dimethyl-4-hydroxy-3(2H)-furanone",4460495
1,"F/H horizon","Carbohydrate","2(5H)-Furanone, 5-methyl-",738539
1,"F/H horizon","Carbohydrate","2H-Furan-3-one",6445615
1,"F/H horizon","Carbohydrate","3-Furaldehyde",6215926
1,"F/H horizon","Carbohydrate","4-Hydroxy-5,6-dihydro-(2H)-pyran-2-one",8623936
1,"F/H horizon","Carbohydrate","Acetic acid",20251445
1,"F/H horizon","Carbohydrate","Anhydropentose/anhydro-cyclofuranose",13465879
1,"F/H horizon","Carbohydrate","Benzofuran, 2,3-dihydro-",12237953
1,"F/H horizon","Carbohydrate","Levoglucosan",161633512
1,"F/H horizon","Carbohydrate","Butyraldehyde",17544153
1,"F/H horizon","Carbohydrate","Dianhydrorhamnose",4822393
1,"F/H horizon","Carbohydrate","Levoglucosenone",4239526
1,"F/H horizon","Aliphatic deriv.","n-fatty acid",5040895
1,"F/H horizon","Aliphatic deriv.","n-fatty acid",625669
1,"F/H horizon","Aliphatic deriv.","n-fatty acid",868701
1,"F/H horizon","Aliphatic deriv.","Carboxylic-acid",4617041
1,"F/H horizon","Others","Phytadiene1",838618
1,"F/H horizon","Others","Phytadiene2",1137461
1,"F/H horizon","Others","Phytadiene3",668954
1,"F/H horizon","Others","Prist-1-ene",2709927
1,"F/H horizon","CO2","Carbon dioxide",152101102
1,"F/H horizon","G-lignin","2-Methoxy-4-vinylphenol",15093676
1,"F/H horizon","G-lignin","Benzoic acid, 4-hydroxy-3-methoxy-, methyl ester",1911571
1,"F/H horizon","G-lignin","Creosol",11788670
1,"F/H horizon","G-lignin","Dihydroconiferyl alcohol",2029935
1,"F/H horizon","G-lignin","Eugenol",2462586
1,"F/H horizon","G-lignin","Phenol, 2-methoxy-",15201804
1,"F/H horizon","G-lignin","Trans-Isoeugenol",20906890
1,"F/H horizon","G-lignin","Vanillin",4321763
1,"F/H horizon","Others","22,29,30 trisnorhop17(21)-ene",308164
1,"F/H horizon","Aliphatic deriv.","Ketone",321008
1,"F/H horizon","Aliphatic deriv.","Ketone",1227166
1,"F/H horizon","Aliphatic deriv.","Ketone",1157987
1,"F/H horizon","Aliphatic deriv.","n-alkane",909081
1,"F/H horizon","Aliphatic deriv.","n-alkane",846905
1,"F/H horizon","Aliphatic deriv.","n-alkane",1291753
1,"F/H horizon","Aliphatic deriv.","n-alkane",1064177
1,"F/H horizon","Aliphatic deriv.","n-alkane",802550
1,"F/H horizon","Aliphatic deriv.","n-alkane",778983
1,"F/H horizon","Aliphatic deriv.","n-alkane",2687461
1,"F/H horizon","Aliphatic deriv.","n-alkane",2539492
1,"F/H horizon","Aliphatic deriv.","n-alkane",420348
1,"F/H horizon","Aliphatic deriv.","n-alkene",1783886
1,"F/H horizon","Aliphatic deriv.","n-alkene",1504636
1,"F/H horizon","Aliphatic deriv.","n-alkene",2926302
1,"F/H horizon","Aliphatic deriv.","n-alkene",987165
1,"F/H horizon","Aliphatic deriv.","n-alkene",1341849
1,"F/H horizon","Aliphatic deriv.","n-alkene",1027957
1,"F/H horizon","Aliphatic deriv.","n-alkene",1775082
1,"F/H horizon","Aliphatic deriv.","n-alkene",2120094
1,"F/H horizon","Aliphatic deriv.","n-alkene",764741
1,"F/H horizon","Aliphatic deriv.","n-alkene",732793
1,"F/H horizon","Aliphatic deriv.","n-alkene",3024250
1,"F/H horizon","N-compound","Cyclo (Pro-Pro)",1642866
1,"F/H horizon","N-compound","Cyclo (Leu-Pro)",648904
1,"F/H horizon","N-compound","Cyclo (Pro-Val)",369908
1,"F/H horizon","N-compound","Methyl N-acetyl-alpha-D-glucosaminide",3807476
1,"F/H horizon","N-compound","Pyrrole/Pyridine",2837563
1,"F/H horizon","Aliphatic deriv.","Other-aliphatics",200021
1,"F/H horizon","Phenol","P-Cresol",7938502
1,"F/H horizon","Phenol","Phenol",5506403
1,"F/H horizon","S-lignin","Phenol, 2,6-dimethoxy-",899243
1,"F/H horizon","Others","Beta-Sitosterol",4475734
1,"F/H horizon","Others","Cholesta-4,6-dien-3-ol,",3711989
1,"F/H horizon","Others","Stigmastan-3,5-diene",5933343
1,"F/H horizon","Unknown","Unknown",216244928
1,"F/H horizon","Others","Gamma-Tocopherol",1295826
1,"F/H horizon","Others","Vitamin E",1666419
2,"F/H horizon","Aromatic deriv.","P-Xylene",1876789
2,"F/H horizon","Aromatic deriv.","Toluene",2248275
