"id","horizon","category","compound","peak_area"
1,"L horizon","Aromatic deriv.","Benzaldehyde",140596
1,"L horizon","Aromatic deriv.","Benzene, 2-ethyl-1,3-dimethyl-",194060
1,"L horizon","Aromatic deriv.","Ethylbenzene",517268
1,"L horizon","Aromatic deriv.","Styrene",389198
1,"L horizon","Aromatic deriv.","Toluene",1209352
1,"L horizon","Carbohydrate","2H-Furan-3-one",2821749
1,"L horizon","Carbohydrate","1-Acetyloxypropane-2-one",691529
1,"L horizon","Carbohydrate","1,2-Cyclopentanedione, 3-methyl-",1522422
1,"L horizon","Carbohydrate","1,6-Anhydro-alpha-D-galactofuranose",4662559
1,"L horizon","Carbohydrate","2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",818699
1,"L horizon","Carbohydrate","2-Cyclopenten-1-one, 2-methyl-",289639
1,"L horizon","Carbohydrate","2-Furancarboxaldehyde, 5-methyl-",1122795
1,"L horizon","Carbohydrate","2-Furanmethanol",456324
1,"L horizon","Carbohydrate","2-Propanone, 1-hydroxy-",1805543
1,"L horizon","Carbohydrate","2,3-Dihydro-5-methylfuran-2-one",2209700
1,"L horizon","Carbohydrate","2,5-Dimethyl-4-hydroxy-3(2H)-furanone",2246854
1,"L horizon","Carbohydrate","2(3H)-Furanone, 5-methyl-",477241
1,"L horizon","Carbohydrate","2(5H)-Furanone",760603
1,"L horizon","Carbohydrate","2(5H)-Furanone, 5-methyl-",345241
1,"L horizon","Carbohydrate","4-Cyclopentene-1,3-dione",560128
1,"L horizon","Carbohydrate","4-Hydroxy-3-methyl-(5H)-furanone",1034023
1,"L horizon","Carbohydrate","4-Hydroxy-5,6-dihydro-(2H)-pyran-2-one",3663445
1,"L horizon","Carbohydrate","Acetic acid",8520958
1,"L horizon","Carbohydrate","Anhydropentose/anhydro-cyclofuranose",5253570
1,"L horizon","Carbohydrate","Levoglucosan",47366958
1,"L horizon","Carbohydrate","Butanedial",575100
1,"L horizon","Carbohydrate","Butyraldehyde",15623101
1,"L horizon","Carbohydrate","Dianhydrorhamnose",2251594
1,"L horizon","Carbohydrate","Ethanone, 1-(2-furanyl)-",240519
1,"L horizon","Carbohydrate","Furfural",3313601
1,"L horizon","Carbohydrate","Levoglucosenone and Maltol",1902732
1,"L horizon","Carbohydrate","Levosugars1",7802758
1,"L horizon","Carbohydrate","Levosugars2",27824205
1,"L horizon","Carbohydrate","Levosugars3",3302814
1,"L horizon","Aliphatic deriv.","n-fatty acid",850857
1,"L horizon","Aliphatic deriv.","n-fatty acid",904170
1,"L horizon","Others","Phytadiene1",354666
1,"L horizon","Others","Phytadiene3",175872
1,"L horizon","Others","Prist-1-ene",931420
1,"L horizon","CO2","Carbon dioxide",100929356
1,"L horizon","G-lignin","2-Methoxy-4-vinylphenol",8202393
1,"L horizon","G-lignin","Apocynin",4036070
1,"L horizon","G-lignin","Coniferaldehyde",873382
1,"L horizon","G-lignin","Coniferyl alcohol trans",1948002
1,"L horizon","G-lignin","Creosol",5736568
1,"L horizon","G-lignin","Dihydroconiferyl alcohol",1287811
1,"L horizon","G-lignin","Phenol, 2-methoxy-",8359036
1,"L horizon","G-lignin","Phenol, 2-methoxy-4-(1-propenyl)-",1097148
1,"L horizon","G-lignin","Phenol, 4-ethyl-2-methoxy-",1484097
1,"L horizon","G-lignin","Trans-Isoeugenol",5279183
1,"L horizon","G-lignin","Vanillin",2923146
1,"L horizon","G-lignin","Propioguaiacone",2022700
1,"L horizon","Aliphatic deriv.","Ketone",1121457
1,"L horizon","Aliphatic deriv.","Ketone",379001
1,"L horizon","Aliphatic deriv.","n-alkane",452980
1,"L horizon","Aliphatic deriv.","n-alkane",421637
1,"L horizon","Aliphatic deriv.","n-alkane",589115
1,"L horizon","Aliphatic deriv.","n-alkane",443576
1,"L horizon","Aliphatic deriv.","n-alkane",235243
1,"L horizon","Aliphatic deriv.","n-alkane",640157
1,"L horizon","Aliphatic deriv.","n-alkane",344949
1,"L horizon","Aliphatic deriv.","n-alkane",22601
1,"L horizon","Aliphatic deriv.","n-alkene",430987
1,"L horizon","Aliphatic deriv.","n-alkene",830235
1,"L horizon","Aliphatic deriv.","n-alkene",754188
1,"L horizon","Aliphatic deriv.","n-alkene",1009776
1,"L horizon","Aliphatic deriv.","n-alkene",774078
1,"L horizon","Aliphatic deriv.","n-alkene",1459228
1,"L horizon","Aliphatic deriv.","n-alkene",1255238
1,"L horizon","Aliphatic deriv.","n-alkene",774968
1,"L horizon","Aliphatic deriv.","n-alkene",189115
1,"L horizon","Aliphatic deriv.","n-alkene",965723
1,"L horizon","Aliphatic deriv.","n-alkene",1295663
1,"L horizon","N-compound","Cyclo (Pro-Pro)",621209
1,"L horizon","N-compound","Cyclo (Leu-Pro)",175557
1,"L horizon","N-compound","Diketodipyrrole",488491
1,"L horizon","N-compound","Pyridine, 4-methyl-",217724
1,"L horizon","Phenol","4-vinyl-phenol",3575915
1,"L horizon","Phenol","Phenol",1373301
1,"L horizon","Phenol","Phenol, 3-methyl-",3521082
1,"L horizon","S-lignin","4-methyl-syringol",405888
1,"L horizon","S-lignin","4-vinyl-syringol",1157196
1,"L horizon","S-lignin","Ethanone, 1-(4-hydroxy-3,5-dimethoxyphenyl)-",319379
1,"L horizon","S-lignin","Phenol, 2,6-dimethoxy-",533599
1,"L horizon","S-lignin","Phenol, 2,6-dimethoxy-4-(2-propenyl)-",557136
1,"L horizon","S-lignin","Syringyl acetone",181777
1,"L horizon","Others","Beta-Sitosterol",3126070
1,"L horizon","Others","Stigmast-4-en-3-one",255206
1,"L horizon","Others","Stigmastan-3,5-diene",1720826
1,"L horizon","Unknown","Unknown",159999921
1,"L horizon","Others","Gamma-Tocopherol",1034994
1,"L horizon","Others","Vitamin E",1213297
2,"L horizon","Aromatic deriv.","Benzaldehyde",179273
2,"L horizon","Aromatic deriv.","Benzene, 2-ethyl-1,3-dimethyl-",203413
2,"L horizon","Aromatic deriv.","Ethylbenzene",533462
2,"L horizon","Aromatic deriv.","Styrene",380993
2,"L horizon","Aromatic deriv.","Toluene",1007961
2,"L horizon","Carbohydrate","2H-Furan-3-one",2567914
2,"L horizon","Carbohydrate","1-Acetyloxypropane-2-one",396366
2,"L horizon","Carbohydrate","1,2-Cyclopentanedione, 3-methyl-",1275919
2,"L horizon","Carbohydrate","1,6-Anhydro-alpha-D-galactofuranose",1800774
2,"L horizon","Carbohydrate","2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",760081
2,"L horizon","Carbohydrate","2-Cyclopenten-1-one, 2-methyl-",212566
2,"L horizon","Carbohydrate","2-Furancarboxaldehyde, 5-methyl-",1187837
2,"L horizon","Carbohydrate","2-Furanmethanol",197619
2,"L horizon","Carbohydrate","2-Propanone, 1-hydroxy-",999694
2,"L horizon","Carbohydrate","2,3-Dihydro-5-methylfuran-2-one",1123739
2,"L horizon","Carbohydrate","2,5-Dimethyl-4-hydroxy-3(2H)-furanone",1846706
2,"L horizon","Carbohydrate","2(3H)-Furanone, 5-methyl-",348970
2,"L horizon","Carbohydrate","2(5H)-Furanone",506278
2,"L horizon","Carbohydrate","2(5H)-Furanone, 5-methyl-",268554
2,"L horizon","Carbohydrate","4-Cyclopentene-1,3-dione",427600
2,"L horizon","Carbohydrate","4-Hydroxy-3-methyl-(5H)-furanone",772145
2,"L horizon","Carbohydrate","4-Hydroxy-5,6-dihydro-(2H)-pyran-2-one",4795829
2,"L horizon","Carbohydrate","Acetic acid",6415122
2,"L horizon","Carbohydrate","Anhydropentose/anhydro-cyclofuranose",7013693
2,"L horizon","Carbohydrate","Levoglucosan",53034200
2,"L horizon","Carbohydrate","Butanedial",278434
2,"L horizon","Carbohydrate","Butyraldehyde",11887881
2,"L horizon","Carbohydrate","Dianhydrorhamnose",1894715
2,"L horizon","Carbohydrate","Ethanone, 1-(2-furanyl)-",230134
2,"L horizon","Carbohydrate","Furfural",2948799
2,"L horizon","Carbohydrate","Levoglucosenone and Maltol",1809548
2,"L horizon","Carbohydrate","Levosugars1",10117298
2,"L horizon","Carbohydrate","Levosugars2",26438254
2,"L horizon","Carbohydrate","Levosugars3",1675495
2,"L horizon","Aliphatic deriv.","n-fatty acid",550149
2,"L horizon","Aliphatic deriv.","n-fatty acid",803555
2,"L horizon","Others","Phytadiene1",533643
2,"L horizon","Others","Phytadiene3",167824
2,"L horizon","Others","Prist-1-ene",585994
2,"L horizon","CO2","Carbon dioxide",87151760
2,"L horizon","G-lignin","2-Methoxy-4-vinylphenol",9344614
2,"L horizon","G-lignin","Apocynin",4752104
2,"L horizon","G-lignin","Coniferaldehyde",1377371
2,"L horizon","G-lignin","Coniferyl alcohol trans",1679448
2,"L horizon","G-lignin","Creosol",7858375
2,"L horizon","G-lignin","Dihydroconiferyl alcohol",1310012
2,"L horizon","G-lignin","Phenol, 2-methoxy-",9256130
2,"L horizon","G-lignin","Phenol, 2-methoxy-4-(1-propenyl)-",1170824
2,"L horizon","G-lignin","Phenol, 4-ethyl-2-methoxy-",1726709
2,"L horizon","G-lignin","Trans-Isoeugenol",5530547
2,"L horizon","G-lignin","Vanillin",3609009
2,"L horizon","G-lignin","Propioguaiacone",2387196
2,"L horizon","Aliphatic deriv.","Ketone",658762
2,"L horizon","Aliphatic deriv.","Ketone",774412
2,"L horizon","Aliphatic deriv.","n-alkane",407989
2,"L horizon","Aliphatic deriv.","n-alkane",324646
2,"L horizon","Aliphatic deriv.","n-alkane",613963
2,"L horizon","Aliphatic deriv.","n-alkane",468209
2,"L horizon","Aliphatic deriv.","n-alkane",444721
2,"L horizon","Aliphatic deriv.","n-alkane",885826
2,"L horizon","Aliphatic deriv.","n-alkane",300334
2,"L horizon","Aliphatic deriv.","n-alkane",86720
2,"L horizon","Aliphatic deriv.","n-alkene",424325
2,"L horizon","Aliphatic deriv.","n-alkene",664899
2,"L horizon","Aliphatic deriv.","n-alkene",831471
2,"L horizon","Aliphatic deriv.","n-alkene",740847
2,"L horizon","Aliphatic deriv.","n-alkene",863666
2,"L horizon","Aliphatic deriv.","n-alkene",988441
2,"L horizon","Aliphatic deriv.","n-alkene",1413490
2,"L horizon","Aliphatic deriv.","n-alkene",1941450
2,"L horizon","Aliphatic deriv.","n-alkene",259929
2,"L horizon","Aliphatic deriv.","n-alkene",370258
2,"L horizon","Aliphatic deriv.","n-alkene",1547880
2,"L horizon","N-compound","Cyclo (Pro-Pro)",623133
2,"L horizon","N-compound","Cyclo (Leu-Pro)",180136
2,"L horizon","N-compound","Diketodipyrrole",397836
2,"L horizon","N-compound","Pyridine, 4-methyl-",150107
2,"L horizon","Phenol","4-vinyl-phenol",4837061
2,"L horizon","Phenol","Phenol",1349448
2,"L horizon","Phenol","Phenol, 3-methyl-",3647682
2,"L horizon","S-lignin","4-methyl-syringol",479155
2,"L horizon","S-lignin","4-vinyl-syringol",1452579
2,"L horizon","S-lignin","Ethanone, 1-(4-hydroxy-3,5-dimethoxyphenyl)-",398414
2,"L horizon","S-lignin","Phenol, 2,6-dimethoxy-",549105
2,"L horizon","S-lignin","Phenol, 2,6-dimethoxy-4-(2-propenyl)-",564130
2,"L horizon","S-lignin","Syringyl acetone",192813
2,"L horizon","Others","Beta-Sitosterol",2525807
