"id","horizon","treatment","location","wC","wN","Cmass","Nmass","CNratio"
1,"L horizon","fertilised","fertilised:inside",50.43,1.04,0.6544133,0.0134957333333333,48.5
2,"L horizon","fertilised","fertilised:inside",49.25,1.03,1.40526666666667,0.0293893333333333,47.8
3,"L horizon","fertilised","fertilised:inside",48.4,1.08,1.33132266666667,0.0297072,44.8
4,"L horizon","fertilised","fertilised:edge",51.26,0.72,1.36778766666667,0.019212,71.2
5,"L horizon","fertilised","fertilised:edge",50.41,0.89,1.67041936666667,0.0294916333333333,56.6
6,"L horizon","fertilised","fertilised:edge",47.89,0.93,0.3227786,0.0062682,51.5
7,"L horizon","fertilised","fertilised:outside",49.31,0.74,0.3984248,0.0059792,66.6
8,"L horizon","fertilised","fertilised:outside",49.35,0.96,1.1493615,0.0223584,51.4
9,"L horizon","fertilised","fertilised:outside",50.68,0.97,0.592787066666667,0.0113457666666667,52.2
10,"L horizon","fertilised","fertilised:inside",51.47,1.17,0.504406,0.011466,44
11,"L horizon","fertilised","fertilised:inside",39.39,0.63,0.8559447,0.0136899,62.5
12,"L horizon","fertilised","fertilised:inside",47.26,1.02,0.8591868,0.0185436,46.3
13,"L horizon","fertilised","fertilised:edge",45.08,0.98,1.46990853333333,0.0319545333333333,46
14,"L horizon","fertilised","fertilised:edge",45.57,0.72,1.4858858,0.0234768,63.3
15,"L horizon","fertilised","fertilised:edge",48.49,0.72,1.26591226666667,0.0187968,67.3
16,"L horizon","fertilised","fertilised:outside",49.19,0.61,1.54194253333333,0.0191214666666667,80.6
17,"L horizon","fertilised","fertilised:outside",49.9,0.78,0.998998,0.0156156,64
18,"L horizon","fertilised","fertilised:outside",48.95,0.79,0.614648833333333,0.00991976666666667,62
19,"L horizon","fertilised","fertilised:inside",46.39,1.01,0.4931257,0.0107363,45.9
20,"L horizon","fertilised","fertilised:inside",44.91,1.03,0.8396673,0.0192575666666667,43.6
21,"L horizon","fertilised","fertilised:inside",48.32,1.12,1.40095786666667,0.0324725333333333,43.1
22,"L horizon","fertilised","fertilised:edge",50.11,1.01,1.29601163333333,0.0261219666666667,49.6
23,"L horizon","fertilised","fertilised:edge",49.93,0.9,1.59709426666667,0.028788,55.5
24,"L horizon","fertilised","fertilised:edge",38.9,0.59,1.15156966666667,0.0174659666666667,65.9
25,"L horizon","fertilised","fertilised:outside",45.47,0.86,1.11704633333333,0.0211273333333333,52.9
26,"L horizon","fertilised","fertilised:outside",48.59,0.84,0.537243433333333,0.0092876,57.8
27,"L horizon","fertilised","fertilised:outside",46.98,0.77,0.5498226,0.00901156666666667,61
28,"L horizon","fertilised","fertilised:inside",50.57,0.97,1.10225743333333,0.0211427666666667,52.1
29,"L horizon","fertilised","fertilised:inside",45.8,1.08,0.47632,0.011232,42.4
30,"L horizon","fertilised","fertilised:inside",49.04,1.1,0.338539466666667,0.00759366666666667,44.6
31,"L horizon","fertilised","fertilised:edge",43.27,0.81,1.28223433333333,0.024003,53.4
32,"L horizon","fertilised","fertilised:edge",49.47,0.93,0.7217673,0.0135687,53.2
33,"L horizon","fertilised","fertilised:edge",48.12,0.99,1.2532052,0.0257829,48.6
34,"L horizon","fertilised","fertilised:outside",49.11,0.9,0.954371,0.01749,54.6
35,"L horizon","fertilised","fertilised:outside",46.89,0.83,0.9931302,0.0175794,56.5
36,"L horizon","fertilised","fertilised:outside",45.28,0.97,1.81859573333333,0.0389584333333333,46.7
37,"L horizon","fertilised","fertilised:inside",48.84,1.05,0.3845336,0.008267,46.5
38,"L horizon","fertilised","fertilised:inside",52.03,0.89,1.16685946666667,0.0199597333333333,58.5
39,"L horizon","fertilised","fertilised:inside",46.71,1,0.56052,0.012,46.7
40,"L horizon","fertilised","fertilised:edge",49.4,1.1,0.535496,0.011924,44.9
